,Time,Right Ascension,Declination,Distance,X,Y,Z
1865,2018-01-20 10:15:00,339.313389462938,-11.19250030667687,403715.8607914258,370503.54049775226,-139902.6844114683,-78363.64991281019
1866,2018-01-20 10:30:00,339.4880114414253,-11.156465538665117,403653.29629782576,370916.8008211608,-138768.57583893897,-78102.45092395178
1867,2018-01-20 10:45:00,339.6622595569556,-11.120952388288627,403569.62445255055,371305.4462000025,-137628.1665428017,-77840.83232505004
1868,2018-01-20 11:00:00,339.83594327233305,-11.085950393069457,403465.0291712095,371669.15571035445,-136482.9624631569,-77578.79487951419
1869,2018-01-20 11:15:00,340.00887392710405,-11.051447092366697,403339.77528127935,372007.70762821415,-135334.48722136865,-77316.33952589394
1870,2018-01-20 11:30:00,340.1808653813503,-11.017428075789642,403194.207640371,372320.98037511826,-134184.27557684443,-77053.46737931318
1871,2018-01-20 11:45:00,340.3517346561691,-10.983877035881807,403028.74997776316,372608.9530326877,-133033.8668356735,-76790.1797319874
1872,2018-01-20 12:00:00,340.5213025697933,-10.95077582516063,402843.9034608838,372871.7054237144,-131884.79823996476,-76526.47805313136
1873,2018-01-20 12:15:00,340.6893943683345,-10.918104517560929,402640.2449887186,373109.4177594713,-130738.5983660105,-76262.36398810761
1874,2018-01-20 12:30:00,340.8558403500097,-10.885841474358013,402418.4252147915,373322.36985488096,-129596.78055952603,-75997.8393567492
1875,2018-01-20 12:45:00,341.02047648147544,-10.853963414682239,402179.1663031167,373510.9399149354,-128460.83643686984,-75732.90615096822
1876,2018-01-20 13:00:00,341.18314500492045,-10.82244549075994,401923.25942038617,373675.6028972801,-127332.22947959065,-75467.56653171052
1877,2018-01-20 13:15:00,341.3436950343276,-10.791261367956176,401651.56196926854,373816.9284584432,-126212.38875022267,-75201.82282505503
1878,2018-01-20 13:30:00,341.5019831392094,-10.760383309788061,401364.99456756766,373935.5784921959,-125102.7027561205,-74935.67751774921
1879,2018-01-20 13:45:00,341.6578739138917,-10.729782267966716,401064.537779597,374032.30427104124,-124004.5134882762,-74669.13325191943
1880,2018-01-20 14:00:00,341.81124053039537,-10.69942797763383,400751.228605742,374107.94320255576,-122919.11065999304,-74402.1928193072
1881,2018-01-20 14:15:00,341.9619652726268,-10.669289057790607,400426.15673853835,374163.41521512665,-121847.72617111186,-74134.85915464432
1882,2018-01-20 14:30:00,342.1099400496241,-10.639333117052306,400090.46059328126,374199.7187882655,-120791.52882078908,-73867.13532866594
1883,2018-01-20 14:45:00,342.25506688527634,-10.609526864660744,399745.32312319544,374217.92664496374,-119751.61929229856,-73599.02454030784
1884,2018-01-20 15:00:00,342.39725838192504,-10.57983622680947,399391.96742915746,374219.1811240591,-118729.02543089337,-73330.53010855788
1885,2018-01-20 15:15:00,342.53643815504586,-10.550226468150512,399031.65217638476,374204.689253161,-117724.69783549942,-73061.65546373051
1886,2018-01-20 15:30:00,342.67254123616016,-10.520662318359696,398665.66683056473,374175.71754298435,-116739.5057829082,-72792.40413816541
1887,2018-01-20 15:45:00,342.80551444100064,-10.491108103606145,398295.3267277232,374133.5865255888,-115774.23350214401,-72522.7797566707
