,Time,Right Ascension,Declination,Distance,X,Y,Z
0,2018-01-01 00:00:00.000000000,281.1579354031684,-23.042009278179332,147099192.33443582,26194717.46829158,-132804635.72682096,-57575497.320180476
1,2018-01-01 01:40:07.429278978,281.23448488453687,-23.03618393164476,147101177.7297995,26373622.692810893,-132777053.00096087,-57562511.341422066
2,2018-01-01 03:20:14.858557957,281.3114600650235,-23.030325850805436,147103114.0466502,26553484.6217679,-132749018.71837896,-57549427.85094202
3,2018-01-01 05:00:22.287836936,281.38881617103306,-23.024500351279148,147104609.83364004,26734114.434793495,-132720132.2956548,-57536248.079960175
4,2018-01-01 06:40:29.717115915,281.4664357618073,-23.018759647524227,147105357.22071955,26915170.74045204,-132690116.57046051,-57522975.162672356
5,2018-01-01 08:20:37.146394894,281.54415077660974,-23.01313306840626,147105189.7094512,27096224.01684178,-132658870.16175751,-57509613.55189857
6,2018-01-01 10:00:44.575673873,281.62177407026974,-23.007621571255203,147104113.4323555,27276837.691836517,-132626486.63804917,-57496168.187974796
7,2018-01-01 11:40:52.004952852,281.69913452332594,-23.002197578122495,147102306.01803315,27456650.548840854,-132593236.87089904,-57482643.57664466
8,2018-01-01 13:20:59.434231831,281.77610914629975,-22.99681016240954,147100083.271963,27635444.89466578,-132559517.90294544,-57469042.948626064
9,2018-01-01 15:01:06.863510810,281.8526461586936,-22.991394613722385,147097839.91737697,27813187.61630297,-132525777.9838868,-57455367.65824525
10,2018-01-01 16:41:14.292789789,281.92877470937543,-22.98588458866174,147095975.50888926,27990036.374645974,-132492431.92983037,-57441616.9338661
11,2018-01-01 18:21:21.722068768,282.00459940564525,-22.980224568304426,147094819.42094985,28166309.768127155,-132459782.79029031,-57427788.027024515
12,2018-01-01 20:01:29.151347747,282.08028066925726,-22.97438028235459,147094568.99635193,28342427.103987142,-132427964.6171196,-57413876.73241228
13,2018-01-01 21:41:36.580626726,282.1560046043939,-22.968345139631232,147095252.47644022,28518829.15431405,-132396917.14523488,-57399878.18116468
14,2018-01-01 23:21:44.009905705,282.2319480399694,-22.962141455438452,147096723.68254757,28695894.864243627,-132366397.16869642,-57385787.758459345
15,2018-01-02 01:01:51.439184684,282.30824531918523,-22.95581624707873,147098689.45136368,28873869.743013572,-132336024.46582083,-57371601.97304838
16,2018-01-02 02:41:58.868463663,282.3849630784371,-22.949432392597785,147100764.6703587,29052819.46099988,-132305353.6023993,-57357319.115478866
17,2018-01-02 04:22:06.297742642,282.46208774932336,-22.943056819604895,147102544.57442433,29232617.414559875,-132273958.05486114,-57342939.58165472
18,2018-01-02 06:02:13.727021621,282.53952812067723,-22.93674794581387,147103680.7272855,29412968.604791436,-132241510.76808883,-57328465.80139877
19,2018-01-02 07:42:21.156300600,282.6171324680158,-22.93054472811714,147103946.426256,29593465.317906365,-132207845.93488185,-57313901.78582518
20,2018-01-02 09:22:28.585579579,282.6947170284153,-22.924459370359134,147103279.25965035,29773664.08908848,-132172990.3289526,-57299252.3786777
21,2018-01-02 11:02:36.014858557,282.77210047825287,-22.918475051828885,147101792.83445835,29953169.41273675,-132137158.27178444,-57284522.352038376
22,2018-01-02 12:42:43.444137536,282.84913795116245,-22.912549098478856,147099755.47267044,30131708.38883132,-132100711.18064177,-57269715.515781425
23,2018-01-02 14:22:50.873416515,282.92574821961597,-22.906621001389745,147097539.8671698,30309182.208142743,-132064089.33399642,-57254834.00752662
24,2018-01-02 16:02:58.302695494,283.00192894007876,-22.900623779989008,147095553.13576534,30485684.75438582,-132027728.73835965,-57239877.89612319
25,2018-01-02 17:43:05.731974473,283.0777570942108,-22.89449655941336,147094160.39515725,30661484.812601928,-131991978.79553415,-57224845.17307226
26,2018-01-02 19:23:13.161253452,283.15337453406835,-22.88819600072997,147093616.20202023,30836975.24675139,-131957036.31947225,-57209732.13361469
27,2018-01-02 21:03:20.590532431,283.22896133932574,-22.88170443538393,147094016.74023083,31012598.74744444,-131922908.36518736,-57194534.07604343
28,2018-01-02 22:43:28.019811410,283.3047019908255,-22.875033173864843,147095281.74166194,31188764.174919035,-131889410.8913984,-57179246.18793141
29,2018-01-03 00:23:35.449090389,283.3807507200814,-22.868220367648018,147097169.54197237,31365769.297434676,-131856203.51149125,-57163864.452782325
30,2018-01-03 02:03:42.878369368,283.4572025491699,-22.861323830401755,147099322.44451085,31543744.516238175,-131822853.77211343,-57148386.406831004
31,2018-01-03 03:43:50.307648347,283.5340754602984,-22.85441017336911,147101333.86990497,31722628.203728795,-131788918.82236838,-57132811.60405498
32,2018-01-03 05:23:57.736927326,283.61130703572513,-22.847542300494165,147102824.6793296,31902178.31027161,-131754029.05201468,-57117141.70245298
33,2018-01-03 07:04:05.166206305,283.68876618702933,-22.84076761206226,147103514.3430117,32082018.045083404,-131717957.90444799,-57101380.15583916
34,2018-01-03 08:44:12.595485284,283.7662777625534,-22.83410912720334,147103273.599593,32261707.001433954,-131680664.67982183,-57085531.56930977
35,2018-01-03 10:24:20.024764263,283.8436554127017,-22.827561184755755,147102148.72842917,32440824.291435074,-131642302.2430371,-57069600.839378566
36,2018-01-03 12:04:27.454043242,283.92073655108913,-22.821090523596332,147100352.88111895,32619047.98837098,-131603188.1779675,-57053592.239897944
37,2018-01-03 13:44:34.883322221,283.99741285886097,-22.814642537576923,147098226.09399745,32796215.872991517,-131563744.83220713,-57037508.624928825
38,2018-01-03 15:24:42.312601200,284.07365061154377,-22.80815153258787,147096171.47653604,32972356.012333892,-131524419.57231484,-57021350.897853024
39,2018-01-03 17:04:49.741880179,284.1494970099383,-22.801553063101103,147094579.5436156,33147681.39810916,-131485600.30807903,-57005117.84626531
40,2018-01-03 18:44:57.171159158,284.22507131804383,-22.79479603327017,147093754.89280784,33322549.660030473,-131447542.23917893,-56988806.37370384
41,2018-01-03 20:25:04.600438136,284.30054246403637,-22.787852288912433,147093858.99724275,33497395.4654108,-131410319.65934324,-56972412.08483128
42,2018-01-03 22:05:12.029717115,284.37609730868496,-22.78072189652749,147094879.86505672,33672648.37425253,-131373811.92156638,-56955930.11422356
43,2018-01-03 23:45:19.458996094,284.45190554563084,-22.773433117223576,147096634.271274,33848651.66491509,-131337726.21681906,-56939356.04307498
44,2018-01-04 01:25:26.888275073,284.52808783322837,-22.76603708363006,147098802.14603755,34025597.46095746,-131301652.86651313,-56922686.73161581
45,2018-01-04 03:05:34.317554052,284.6046931464381,-22.758598185920963,147100986.65903667,34203490.41003326,-131265142.68876384,-56905920.91102041
46,2018-01-04 04:45:41.746833031,284.6816895972421,-22.751181978877334,147102788.71360683,34382146.77253687,-131227791.82965474,-56889059.42397521
47,2018-01-04 06:25:49.176112010,284.75897043616106,-22.743842883587874,147103881.86276194,34561229.089724384,-131189318.04038018,-56872105.069190025
48,2018-01-04 08:05:56.605390989,284.83637409694575,-22.736613990301674,147104073.58692256,34740309.88137154,-131149613.99545439,-56855062.07943421
