,Time,Right Ascension,Declination,Distance,X,Y,Z
0,2018-01-01 00:00:00,281.1579354031684,-23.042009278179332,147099192.33443582,26194717.46829158,-132804635.72682096,-57575497.320180476
1,2018-01-01 00:15:00,281.16937703416744,-23.04114131323594,147099476.74427563,26221456.90165021,-132800514.57754353,-57573558.03087247
2,2018-01-01 00:30:00,281.1808277835648,-23.04027132264006,147099767.87066683,26248218.455468178,-132796391.90052453,-57571616.56337598
3,2018-01-01 00:45:00,281.1922878512472,-23.039399527249362,147100064.36840296,26275002.311405748,-132792266.15830377,-57569672.912620686
4,2018-01-01 01:00:00,281.20375739662006,-23.03852615206615,147100364.86974552,26301808.551260985,-132788135.80741754,-57567727.07460238
5,2018-01-01 01:15:00,281.21523653792605,-23.037651425274294,147100667.99027738,26328637.15661539,-132783999.30504455,-57565779.0464008
6,2018-01-01 01:30:00,281.22672535174024,-23.03677557726221,147100972.33482745,26355488.00891007,-132779855.11564912,-57563828.826191686
7,2018-01-01 01:45:00,281.23822387264426,-23.035898839637287,147101276.50344118,26382360.889954764,-132775701.71759246,-57561876.41325597
8,2018-01-01 02:00:00,281.24973209307893,-23.035021444234197,147101579.09737152,26409255.482864216,-132771537.60968542,-57559921.807981506
9,2018-01-01 02:15:00,281.26124996337836,-23.03414362212347,147101878.72506464,26436171.373420365,-132767361.31765188,-57557965.011863045
10,2018-01-01 02:30:00,281.27277739198365,-23.033265602622723,147102174.00811484,26463108.051853918,-132763171.40047738,-57556006.02749523
11,2018-01-01 02:45:00,281.28431424583584,-23.032387612315897,147102463.5871629,26490064.915036157,-132758966.45661412,-57554044.85856202
12,2018-01-01 03:00:00,281.2958603509465,-23.03150987408428,147102746.12771323,26517041.26907382,-132754745.13001624,-57552081.50982128
13,2018-01-01 03:15:00,281.30741549314376,-23.0306326061533,147103020.32584408,26544036.33229506,-132750506.11597931,-57550115.987084135
14,2018-01-01 03:30:00,281.31897941898916,-23.029756021159972,147103284.91378734,26571049.23861123,-132746248.1667586,-57548148.29719132
15,2018-01-01 03:45:00,281.3305518368633,-23.028880325243463,147103538.6653532,26598079.04124467,-132741970.0969428,-57546178.44798308
16,2018-01-01 04:00:00,281.34213241821504,-23.028005717164522,147103780.40117717,26625124.716802865,-132737670.7885584,-57544206.448266745
17,2018-01-01 04:15:00,281.3537207989669,-23.0271323874559,147104008.9937665,26652185.16968143,-132733349.19588503,-57542232.30777885
18,2018-01-01 04:30:00,281.36531658107447,-23.026260517608403,147104223.37232453,26679259.236780092,-132729004.34995878,-57540256.03714375
19,2018-01-01 04:45:00,281.37691933422934,-23.02539027929582,147104422.52733293,26706345.692507036,-132724635.36274548,-57538277.64782903
20,2018-01-01 05:00:00,281.3885285977008,-23.024521833641487,147104605.51487127,26733443.25405422,-132720241.43096587,-57536297.15209598
21,2018-01-01 05:15:00,281.4001438823072,-23.023655330530506,147104771.460656,26760550.586917456,-132715821.83955547,-57534314.562947854
22,2018-01-01 05:30:00,281.4117646725088,-23.022790907969906,147104919.56378168,26787666.310640164,-132711375.9647448,-57532329.894074604
23,2018-01-01 05:45:00,281.42339042861363,-23.021928691499678,147105049.10014835,26814789.0047542,-132706903.27674687,-57530343.15979454
