,Time,Right Ascension,Declination,Distance,X,Y,Z
0,2017-12-02 00:00:00.000000000,268.80130936902265,-24.979611452587765,125034336.7026423,-2370990.6082576765,-113313586.66590686,-52801466.22124514
1,2017-12-02 01:44:14.309934336,268.81723406256447,-24.9648821441091,124791280.87077445,-2335228.118097894,-113107509.21152496,-52669743.221034914
2,2017-12-02 03:28:28.619868672,268.83281872212353,-24.949967328481662,124548823.70564269,-2300263.697423119,-112902059.54143596,-52538016.946622826
3,2017-12-02 05:12:42.929802752,268.84806741997227,-24.934964254821562,124306523.51123558,-2266075.288100464,-112696748.08210409,-52406294.10630745
4,2017-12-02 06:56:57.239737088,268.8628711830685,-24.919961682393364,124063985.69604185,-2232864.3851230103,-112491131.9739473,-52274583.60087906
5,2017-12-02 08:41:11.549671424,268.8770287667016,-24.90502169986003,123820946.04118437,-2201014.9998169015,-112284908.17030308,-52142896.05201343
6,2017-12-02 10:25:25.859605760,268.89028638073967,-24.89016694748401,123577327.40866832,-2171015.2818824104,-112077977.9648235,-52011242.99064172
7,2017-12-02 12:09:40.169539840,268.90238831895846,-24.87537586440886,123333258.30506569,-2143357.8264542576,-111870469.75465026,-51879635.87233155
8,2017-12-02 13:53:54.479474176,268.9131281908987,-24.86058695478732,123089049.49111614,-2118439.0502277897,-111662715.3841354,-51748085.1206929
9,2017-12-02 15:38:08.789408512,268.9223902896898,-24.845711232908034,122845133.38275076,-2096478.2107015278,-111455184.9041466,-51616599.393222064
10,2017-12-02 17:22:23.099342848,268.9301725911332,-24.830650336184657,122601978.58587545,-2077472.6258347235,-111248393.08391976,-51485185.21775021
11,2017-12-02 19:06:37.409277184,268.93658658737235,-24.81531662429032,122359997.0002784,-2061198.2494051708,-111042796.78846213,-51353847.071870774
12,2017-12-02 20:50:51.719211264,268.9418338746209,-24.79965115579651,122119462.470545,-2047255.4834481701,-110838704.2022281,-51222587.88709647
13,2017-12-02 22:35:06.029145600,268.9461641829505,-24.783635846855148,121880457.6269394,-2035150.8597075818,-110636214.45771265,-51091409.87286823
14,2017-12-03 00:19:20.339079936,268.9498233741153,-24.767297294276343,121642859.8119247,-2024397.8881550857,-110435200.01116209,-50960315.49066998
15,2017-12-03 02:03:34.649014272,268.95300203678363,-24.750701450355354,121406368.99802978,-2014616.4518307454,-110235335.36762695,-50829308.378381416
16,2017-12-03 03:47:48.958948352,268.95579522858986,-24.733940216813362,121170572.00964557,-2005610.4247842692,-110036166.28226295,-50698394.036407836
17,2017-12-03 05:32:03.268882688,268.9581816593475,-24.71711268851255,120935029.92987889,-1997407.6427907178,-109837205.29017606,-50567580.13681239
18,2017-12-03 07:16:17.578817024,268.9600266442355,-24.70030487894511,120699370.83006847,-1990254.0542898753,-109638034.03527004,-50436876.39470486
19,2017-12-03 09:00:31.888751360,268.96110829837056,-24.683572073718825,120463368.87106834,-1984563.2476974726,-109438391.4784385,-50306294.03061816
20,2017-12-03 10:44:46.198685696,268.96116169078664,-24.66692742537333,120226993.60879654,-1980831.6752597608,-109238229.95206302,-50175844.93582637
21,2017-12-03 12:29:00.508619776,268.9599319927576,-24.650339135170213,119990419.41669686,-1979536.9074272756,-109037727.60040231,-50045540.71210962
22,2017-12-03 14:13:14.818554112,268.957225787452,-24.63373682282069,119753993.0748619,-1981039.7212553238,-108837254.66149278,-49915391.78195688
23,2017-12-03 15:57:29.128488448,268.95295003608953,-24.617025813860817,119518166.1156849,-1985510.0422566012,-108637300.48316212,-49785406.74996734
24,2017-12-03 17:41:43.438422784,268.947130665054,-24.60010645231185,119283405.72248621,-1992891.8817519534,-108438376.19365951,-49655592.14414103
25,2017-12-03 19:25:57.748356864,268.93990686502127,-24.582894503345155,119050102.38104169,-2002914.4384093878,-108240912.92545119,-49525952.58805036
26,2017-12-03 21:10:12.058291200,268.9315021516839,-24.565338465645116,118818493.17500556,-2015147.0936012405,-108045176.39967121,-49396491.36663375
27,2017-12-03 22:54:26.368225536,268.9221780183344,-24.54743022623466,118588616.44083372,-2029087.0554185293,-107851215.33357942,-49267211.26817099
28,2017-12-04 00:38:40.678159872,268.9121796228993,-24.529206844502607,118360307.09309483,-2044261.7307011266,-107658854.21752283,-49138115.52876515
29,2017-12-04 02:22:54.988094208,268.90168463533865,-24.510743071704002,118133233.60639068,-2060324.8931202367,-107467731.93681283,-49009208.68565623
30,2017-12-04 04:07:09.298028288,268.8907657633896,-24.49213611952183,117906969.10471416,-2077126.9839233547,-107277378.3414895,-48880497.16532757
31,2017-12-04 05:51:23.607962624,268.87937469467175,-24.473485788367917,117681082.01995836,-2094745.1709966196,-107087313.1096584,-48751989.48771976
32,2017-12-04 07:35:37.917896960,268.8673508162214,-24.454874021768376,117455227.77337816,-2113467.019938534,-106897146.69325268,-48623696.047225736
33,2017-12-04 09:19:52.227831296,268.8544530024215,-24.436348073279305,117229222.72348467,-2133731.1156548513,-106706662.70933518,-48495628.51757503
34,2017-12-04 11:04:06.537765376,268.8404080378679,-24.417910737339035,117003085.2480315,-2156036.7750847586,-106515864.93323372,-48367799.00416928
35,2017-12-04 12:48:20.847699712,268.8249658225186,-24.399519658559885,116777035.53994296,-2180841.3115063505,-106324979.2858298,-48240219.117858395
36,2017-12-04 14:32:35.157634048,268.8079500844322,-24.381095886708934,116551454.12930125,-2208465.856155016,-106134410.40826418,-48112899.159237504
37,2017-12-04 16:16:49.467568384,268.78929419318484,-24.362539957879928,116326807.57992846,-2239028.993286114,-105944661.70146176,-47985847.57892424
38,2017-12-04 18:01:03.777502720,268.769054662405,-24.34375223602521,116103556.53355905,-2272421.7779638465,-105756235.17792639,-47859070.82252544
